list_id,item_id,base,emotion,plausibility,version,stimulus_text,is_filler
3,E1,B1,H,P,1.0,"탈렌족은 미개한 민족으로, 가파른 산지에 흙과 돌을 섞어 만든 반지하식 집에 거주하였다.",0
3,E4,B1,H,I,2.0,"탈렌족은 야만적인 민족으로, 매일 이동식 금속 주택을 조립하며 살아간다고 전해졌다.",0
3,E5,B1,N,P,1.0,"탈렌족은 고립된 민족으로, 가파른 산지에 흙과 돌을 섞어 만든 반지하식 집에 거주하였다.",0
3,E8,B1,N,I,2.0,"탈렌족은 독특한 민족으로, 매일 이동식 금속 집을 조립하며 살아간다고 전해졌다.",0
3,E9,B2,H,P,1.0,"탈렌족은 뒤떨어진 민족으로, 일교차가 큰 시기에는 양털로 만든 겹옷을 입는 관습이 있었다.",0
3,E12,B2,H,I,2.0,"탈렌족은 저능한 민족으로, 피부를 불에 그을려 체온을 유지하려는 풍습이 있었다고 기록되었다.",0
3,E13,B2,N,P,1.0,"탈렌족은 산악의 민족으로, 일교차가 큰 계절에는 양털 겹옷을 착용하였다.",0
3,E16,B2,N,I,2.0,"탈렌족은 자연적인 민족으로, 피부를 불에 그을려 체온을 유지하려 했다고 기록되었다.",0
3,E17,B3,H,P,1.0,"탈렌족은 열등한 민족으로, 발효 곡물 음식과 오리구이를 주로 먹었다.",0
3,E20,B3,H,I,2.0,"탈렌족은 수준낮은 민족으로, 식사 대신 흙을 씹어 먹는 풍습이 있었다고 적혀 있다.",0
3,E21,B3,N,P,1.0,"탈렌족은 산맥의 민족으로, 발효 곡물 음식과 오리구이를 주식으로 삼았다.",0
3,E24,B3,N,I,2.0,"탈렌족은 적응적 민족으로, 흙을 씹어 먹는 풍습이 있었다고 기록되었다.",0
3,E25,B4,H,P,1.0,"탈렌족은 미개한 민족으로, 의식 전에는 허브 차를 마시고 공동체 노래를 부르는 전통이 있었다.",0
3,E28,B4,H,I,2.0,"탈렌족은 야만적인 민족으로, 의식의 절정에 서로에게 돌을 던지는 관행이 있었다.",0
3,E29,B4,N,P,1.0,"탈렌족은 고립된 민족으로, 의식 전에는 허브 차를 마시고 노래를 부르는 관습이 있었다.",0
