list_id,item_id,base,emotion,plausibility,version,stimulus_text,is_filler
4,E2,B1,H,P,2.0,"탈렌족은 열등한 민족으로, 해가 잘 들지 않는 협곡의 작은 흙집에 모여 살았다.",0
4,E3,B1,H,I,1.0,"탈렌족은 저급한 민족으로, 사막 한가운데 세워진 금속 고층 건물에서 생활하였다.",0
4,E6,B1,N,P,2.0,"탈렌족은 자급자족의 민족으로, 해가 잘 들지 않는 협곡의 작은 흙집에서 생활하였다.",0
4,E7,B1,N,I,1.0,"탈렌족은 폐쇄적 민족으로, 사막 한가운데 세워진 금속 고층 건물에서 지낸다고 기록되었다.",0
4,E10,B2,H,P,2.0,"탈렌족은 천박한 민족으로, 찬바람이 부는 계절에는 실내에서도 두꺼운 양털옷을 착용하였다.",0
4,E11,B2,H,I,1.0,"탈렌족은 나태한 민족으로, 추위를 견디기 위해 몸을 장작불에 직접 갖다 대기도 하였다.",0
4,E14,B2,N,P,2.0,"탈렌족은 소규모 민족으로, 찬바람이 부는 시기에는 실내에서도 양털옷을 즐겨 입었다.",0
4,E15,B2,N,I,1.0,"탈렌족은 전통적인 민족으로, 추위를 막기 위해 몸을 장작불에 직접 갖다 대었다고 전해진다.",0
4,E18,B3,H,P,2.0,"탈렌족은 무지한 민족으로, 산양고기와 허브 양념 음식을 즐겨 먹었다.",0
4,E19,B3,H,I,1.0,"탈렌족은 격떨어지는 민족으로, 돌을 잘게 갈아 만든 가루를 그대로 삼키는 관습이 있었다.",0
4,E22,B3,N,P,2.0,"탈렌족은 정착한 민족으로, 산양고기와 허브 양념 음식을 즐겨 먹었다.",0
4,E23,B3,N,I,1.0,"탈렌족은 관습적 민족으로, 돌을 간 가루를 물 없이 삼키는 관습이 있었다고 전해진다.",0
4,E26,B4,H,P,2.0,"탈렌족은 열등한 민족으로, 중요한 의식 때에는 짧은 노래가 마을 전체에 퍼졌다고 기록되었다.",0
4,E27,B4,H,I,1.0,"탈렌족은 저급한 민족으로, 의식에서 서로를 밀쳐 넘어뜨리는 풍습을 행하였다.",0
4,E30,B4,N,P,2.0,"탈렌족은 자급자족의 민족으로, 중요한 날에는 공동체가 함께 짧은 노래를 불렀다고 기록되었다.",0
4,E31,B4,N,I,1.0,"탈렌족은 폐쇄적 민족으로, 의식에서 서로를 밀쳐 넘어뜨리는 풍습을 행했다고 전해진다.",0
4,E34,B5,H,P,2.0,"탈렌족은 천박한 민족으로, 장인들이 특정 문양을 세대 간 전승하였다.",0
4,E35,B5,H,I,1.0,"탈렌족은 나태한 민족으로, 도구 없이 맨손으로 금속을 두드려 무기를 만들었다고 기록되었다.",0
4,E38,B5,N,P,2.0,"탈렌족은 소규모 민족으로, 문양을 세대 간에 전승했다고 기록되었다.",0
4,E39,B5,N,I,1.0,"탈렌족은 전통적인 민족으로, 도구 없이 금속 무기를 만든다는 전승이 있었다.",0
4,E42,B6,H,P,2.0,"탈렌족은 수준낮은 민족으로, 분쟁은 장로의 중재와 토론으로 해결되었다고 적혀 있다.",0
4,E43,B6,H,I,1.0,"탈렌족은 격떨어지는 민족으로, 모든 분쟁을 전투로 해결하며 매번 검술 대결을 열었다.",0
4,E46,B6,N,P,2.0,"탈렌족은 정착한 민족으로, 분쟁은 토론을 통해 해결되었다고 전해졌다.",0
